"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","JSONPlaceholder 真实API测试","查询帖子","0","0","1","2","0"
"","","","0","0","5","0","0"
"","OpenWeatherMap 真实API","查询错误城市","0","0","1","0","0"
"","JSONPlaceholder 真实API测试","创建帖子","0","0","0","1","0"
"","宠物管理模块","查询宠物","0","0","1","0","0"
"","宠物管理模块","删除宠物","0","0","2","0","0"
"","宠物管理","查询宠物","0","0","1","0","0"
"","宠物管理模块","新增宠物","0","0","5","0","0"
"","JSONPlaceholder 真实API测试","查询单个帖子","0","0","1","0","0"
"","宠物管理模块","更新宠物","0","0","1","0","0"
"","宠物管理","新增宠物","0","0","4","0","0"
"","OpenWeatherMap 真实API","查询天气","0","0","3","0","0"
"","JSONPlaceholder 真实API测试","创建新帖子","0","0","1","0","0"
